"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",1165.9
"13001","13004",29.74
"13001","13012",22.99
"13001","13024",56.42
"13001","13035",37.47
"13001","13037",22.99
"13001","13056",94.68
"13001","13057",30.57
"13001","13077",385.44
"13002","13002",3976.21
"13002","13051",50.69
"13002","13056",268.06
"13002","13057",123.16
"13002","13077",912.14
"13002","13083",47.44
"13003","13003",12432.95
"13003","13009",1072.23
"13003","13010",57.39
"13003","13023",456.11
"13003","13024",26.05
"13003","13030",253.64
"13003","13031",31.34
"13003","13037",23.17
"13003","13041",26.25
"13003","13048",1733.65
"13003","13050",28.86
"13003","13051",48.69
"13003","13052",257.42
"13003","13054",881.11
"13003","13055",228.01
"13003","13061",30.57
"13003","13063",24.57
"13003","13069",38.81
"13003","13070",24.46
"13003","13074",29.64
"13003","13075",30.57
"13003","13076",24.73
"13003","13077",19.84
"13003","13082",248.92
"13004","13004",128.69
"13004","13024",25.25
"13004","13035",106.48
"13004","13077",151.35
"13005","13003",28.86
"13005","13005",2383.44
"13005","13010",54.2
"13005","13013",40.29
"13005","13030",25.87
"13005","13041",195.78
"13005","13048",47.72
"13005","13052",86.01
"13005","13056",27.25
"13005","13065",1103.78
"13005","13074",267.18
"13005","13076",30.48
"13006","13006",779.89
"13006","13017",203.57
"13006","13029",74.89
"13006","13030",75.8
"13006","13044",49.6
"13006","13048",23.58
"13006","13058",131.96
"13006","13084",23.44
"13007","13007",1597.16
"13007","13008",278.54
"13007","13061",192.71
"13007","13072",361.03
"13008","13007",426.4
"13008","13008",5588.04
"13008","13016",26.66
"13008","13021",434.71
"13008","13022",22.57
"13008","13048",24.73
"13008","13051",46.15
"13008","13060",27.25
"13008","13061",1028.5
"13008","13066",23.44
"13008","13072",193.51
"13008","13076",26.05
"13008","13077",152.87
"13008","13081",26.05
"13008","13083",53.29
"13008","13084",28.86
"13009","13003",1165.43
"13009","13005",29.64
"13009","13009",1821.15
"13009","13021",22.3
"13009","13023",24.57
"13009","13027",29.74
"13009","13029",49.3
"13009","13030",30.14
"13009","13032",27.25
"13009","13034",24.57
"13009","13039",26.01
"13009","13041",23.44
"13009","13048",355.63
"13009","13051",122.14
"13009","13052",483.1
"13009","13054",128.38
"13009","13055",48.24
"13009","13069",77.61
"13009","13075",24.73
"13009","13082",85.35
"13009","13083",25.25
"13009","13084",32.15
"13010","13003",102.66
"13010","13010",6559.69
"13010","13013",789.4
"13010","13019",25.25
"13010","13021",55.89
"13010","13030",103.02
"13010","13041",116.89
"13010","13048",194.95
"13010","13065",145.28
"13010","13066",73.55
"13010","13067",252.07
"13010","13069",47.03
"13010","13070",56.99
"13010","13074",404.17
"13010","13075",125.58
"13010","13076",1385.82
"13010","13083",26.05
"13010","13084",29.64
"13011","13011",339.27
"13011","13028",26.25
"13011","13034",23.58
"13012","13001",76.91
"13012","13012",3542.8
"13012","13024",1296.25
"13012","13036",113.24
"13012","13037",96.57
"13012","13038",24.57
"13012","13039",299.13
"13012","13048",97.7
"13012","13051",183.8
"13012","13075",23.59
"13012","13080",26.01
"13013","13010",764.1
"13013","13013",6416.27
"13013","13030",23.44
"13013","13041",148.41
"13013","13048",27.25
"13013","13052",54.92
"13013","13063",200.82
"13013","13066",23.59
"13013","13067",72.82
"13013","13069",26.05
"13013","13074",154.33
"13013","13075",61.14
"13013","13076",504.27
"13013","13081",25.87
"13013","13082",30.57
"13014","13014",1566.28
"13014","13025",30.57
"13014","13068",28.86
"13014","13080",24.57
"13015","13003",24.46
"13015","13015",643.84
"13015","13020",36.15
"13015","13030",263.65
"13015","13043",100.87
"13015","13051",23.59
"13015","13054",25.87
"13015","13071",26.05
"13015","13083",143.61
"13016","13001",11.79
"13016","13002",25.25
"13016","13012",25.25
"13016","13016",9224.3
"13016","13048",93.01
"13016","13056",409.74
"13016","13057",22.3
"13016","13061",51.94
"13016","13075",75.48
"13016","13077",2616.06
"13017","13006",84.64
"13017","13017",625.11
"13017","13044",51.8
"13017","13063",26.25
"13017","13064",62.59
"13017","13074",26.05
"13018","13018",579.39
"13018","13040",89.76
"13019","13003",45.52
"13019","13010",26.01
"13019","13019",436.88
"13019","13030",45.98
"13019","13041",109.07
"13019","13050",82.6
"13019","13054",23.44
"13019","13067",27.25
"13019","13076",87.14
"13020","13020",26.59
"13020","13037",137.41
"13021","13008",191.69
"13021","13010",22.3
"13021","13021",1206.4
"13021","13022",22.3
"13021","13051",27.61
"13021","13061",235.83
"13021","13066",109.25
"13021","13067",48.42
"13021","13076",29.64
"13021","13077",56.62
"13021","13083",55.35
"13022","13012",23.44
"13022","13022",990.11
"13022","13048",352.46
"13022","13051",1428.62
"13022","13077",94.02
"13022","13082",32.75
"13022","13083",138.92
"13023","13003",209.33
"13023","13005",61.18
"13023","13009",23.59
"13023","13013",57.78
